Region,Country,country_un,year,idnumber,ee1,ee2,ee3,ee4,ee5,ee6,ti1,ti2,ti3,ti4,ti5,ti7,ti8,ti9,ti10,ti11,ti12,sc1,pe1,pe2,pe3,pe4,pe5,pe6,aps1,aps2,aps3,aps4,psy2,psy3,psy5,psy7,psy8,par1,par2,pp1,pp2,pp4,pp6,pp7,pp8,pp9,dv3,dem1,dem2,dem3,dem_afro1,dem_afro2,dem_afro3,sd1,sd2,sd3,imp1,imp2,imp3,nimp1,nimp2,nimp3,imp4,gov1,gov2,gov3,gov5,cup1,cup2,cup3,cup4,rp1,rp2,rp4,rp5,rp6,rp7,int1,ci1,ci2,ci3,pcg1,pcg2,pcg3,pcg4,pcg5,pcg6,rd1,rd2,sm1,sm2,sm3,sm4,sm5,da1,da2,da3,gbse1,gbse2,gbse3,gbse4,gbse5,gbse6,gbse7,gbse8,gbse9,gbse10,gbse11,gbse12,gbse13,gbse14,gbse15,gbse16,gbse17,wt,couweight,regionweight
3,Egypt,818,2016,50376,1,3,5,4,-1,-1,-1,3,2,-1,3,1,4,2,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,2,2,2,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,9,3000001,-1,-1,1,-1,-1,-1,-1,4,3,2,-1,-1,3,3,1,-1,3,1,-1,9,4,-1,-1,-1,3,2,1,2,2,3,-1,-1,-1,2,2,1,1,5,4,4,1,34,3,3001,-1,1,3,-1,2,-1,-1,1,2,3,1,-1,2,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50377,2,5,2,1,-1,-1,-1,3,2,-1,1,1,4,2,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,1,3000001,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,4,1,1,-1,1,1,-1,1,1,-1,-1,-1,2,1,1,2,1,3,-1,-1,-1,-1,-1,-1,-1,4,3,3,1,27,1,3001,-1,1,3,-1,1,-1,-1,1,2,3,2,-1,2,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50378,1,5,4,4,-1,-1,-1,3,4,-1,4,4,3,4,-1,-1,-1,1,1,-1,2,-1,-1,4,-1,-1,-1,-1,3,4,4,-1,2,2,3005014,-1,-1,-1,3,3,-1,-1,-1,4,1,3,-1,-1,-1,-1,-1,7,3000001,-1,-1,1,-1,-1,-1,-1,3,4,2,-1,-1,4,3,1,-1,1,3,-1,7,4,-1,-1,-1,1,2,1,1,1,1,-1,-1,-1,2,2,2,2,3,3,3,1,18,3,3001,-1,2,3,-1,2,-1,-1,1,2,3,2,-1,2,1.894736842,2.186357894,2.030075187
3,Egypt,818,2016,50379,4,2,5,4,-1,-1,-1,2,3,-1,3,4,4,3,-1,-1,-1,2,2,-1,2,-1,-1,2,-1,-1,-1,-1,3,2,2,-1,1,1,0,-1,-1,-1,2,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,4,3000001,-1,-1,1,-1,-1,-1,-1,1,2,2,-1,-1,4,1,3,-1,3,1,-1,6,1,-1,-1,-1,2,1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,4,4,3,2,25,3,3001,-1,1,3,-1,1,-1,-1,1,2,3,2,-1,3,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50380,4,3,3,4,-1,-1,-1,4,4,-1,4,3,4,2,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,4,1,3,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,7,3000001,-1,-1,1,-1,-1,-1,-1,3,1,2,-1,-1,3,1,1,-1,1,2,-1,6,1,-1,-1,-1,3,2,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,3,3,3,2,42,1,3001,-1,1,3,-1,1,-1,-1,1,2,3,1,-1,3,0.670807453,0.774052173,0.718722271
3,Egypt,818,2016,50381,2,2,4,4,-1,-1,-1,3,2,-1,3,3,3,3,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,4,1,4,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,4,3000001,-1,-1,1,-1,-1,-1,-1,4,2,1,-1,-1,3,3,3,-1,3,1,-1,4,1,-1,-1,-1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,4,3,4,1,53,1,3001,-1,1,3,-1,2,-1,-1,1,2,1,1,-1,3,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50382,1,4,8,1,-1,-1,-1,3,2,-1,3,1,4,2,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,4,1,3,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,3,2,3,-1,-1,-1,-1,-1,4,3000001,-1,-1,1,-1,-1,-1,-1,2,2,1,-1,-1,4,2,8,-1,1,3,-1,4,1,-1,-1,-1,2,1,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,33,2,3001,-1,1,3,-1,2,-1,-1,1,2,1,1,-1,2,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50383,2,3,3,4,-1,-1,-1,4,4,-1,3,2,2,4,-1,-1,-1,2,1,-1,1,-1,-1,4,-1,-1,-1,-1,1,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,3,3,3,-1,-1,-1,-1,-1,5,3000001,-1,-1,1,-1,-1,-1,-1,1,1,2,-1,-1,2,2,1,-1,1,2,-1,6,1,-1,-1,-1,2,2,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,3,3,3,1,53,3,3001,-1,1,3,-1,2,-1,-1,1,2,1,1,-1,3,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50384,1,5,2,4,-1,-1,-1,3,1,-1,4,1,4,4,-1,-1,-1,2,1,-1,1,-1,-1,4,-1,-1,-1,-1,3,1,2,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,3,2,3,-1,-1,-1,-1,-1,7,3000001,-1,-1,1,-1,-1,-1,-1,3,1,1,-1,-1,4,3,1,-1,1,1,-1,1,2,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,2,2,1,1,3,3,3,1,33,3,3001,-1,2,3,-1,2,-1,-1,1,2,1,1,-1,2,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50385,4,5,5,1,-1,-1,-1,4,4,-1,3,1,4,3,-1,-1,-1,2,2,-1,1,-1,-1,4,-1,-1,-1,-1,4,1,3,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,4,3000001,-1,-1,1,-1,-1,-1,-1,4,1,1,-1,-1,2,4,1,-1,4,1,-1,4,1,-1,-1,-1,3,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,4,3,3,1,48,1,3001,-1,2,3,-1,2,-1,-1,1,2,1,1,-1,2,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50386,1,4,4,4,-1,-1,-1,4,4,-1,4,4,4,4,-1,-1,-1,2,2,-1,1,-1,-1,4,-1,-1,-1,-1,4,1,4,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,9,3000001,-1,-1,1,-1,-1,-1,-1,4,3,1,-1,-1,1,-1,1,-1,1,1,-1,7,1,-1,-1,-1,2,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,4,4,4,1,48,1,3001,-1,1,3,-1,1,-1,-1,1,2,1,1,-1,3,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50387,2,5,3,2,-1,-1,-1,3,2,-1,3,2,4,2,-1,-1,-1,2,1,-1,1,-1,-1,8,-1,-1,-1,-1,2,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,5,3000001,-1,-1,1,-1,-1,-1,-1,2,2,8,-1,-1,4,2,2,-1,2,3,-1,4,1,-1,-1,-1,2,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,33,1,3001,-1,1,3,-1,2,-1,-1,1,2,1,2,-1,2,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50388,4,3,3,4,-1,-1,-1,4,4,-1,4,4,4,4,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,1,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,3,2,3,-1,-1,-1,-1,-1,4,3000002,-1,-1,6,-1,-1,-1,-1,2,1,2,-1,-1,2,4,8,-1,8,2,-1,7,1,-1,-1,-1,3,2,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,3,3,3,1,52,1,3001,-1,1,3,-1,1,-1,-1,1,2,1,1,-1,3,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50389,2,2,4,4,-1,-1,-1,3,3,-1,3,1,4,3,-1,-1,-1,2,1,-1,1,-1,-1,8,-1,-1,-1,-1,1,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,9,3000001,-1,-1,1,-1,-1,-1,-1,3,1,2,-1,-1,1,-1,1,-1,1,1,-1,9,1,-1,-1,-1,2,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,3,3,3,2,37,1,3001,-1,2,3,-1,1,-1,-1,1,1,1,1,-1,3,0.670807453,0.774052173,0.718722271
3,Egypt,818,2016,50390,4,5,8,4,-1,-1,-1,3,3,-1,3,1,4,2,-1,-1,-1,1,2,-1,1,-1,-1,3,-1,-1,-1,-1,4,1,3,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,5,3000001,-1,-1,1,-1,-1,-1,-1,4,1,1,-1,-1,3,2,1,-1,1,1,-1,5,4,-1,-1,-1,3,3,3,1,1,1,-1,-1,-1,2,2,1,1,4,3,3,1,30,3,3001,-1,1,3,-1,2,-1,-1,1,2,1,1,-1,2,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50391,2,4,8,4,-1,-1,-1,3,4,-1,2,3,1,3,-1,-1,-1,2,1,-1,1,-1,-1,3,-1,-1,-1,-1,4,1,4,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,8,3000001,-1,-1,1,-1,-1,-1,-1,3,1,2,-1,-1,4,1,8,-1,1,1,-1,10,1,-1,-1,-1,3,1,2,1,3,2,-1,-1,-1,-1,-1,-1,-1,3,3,3,2,59,1,3001,-1,3,3,-1,1,-1,-1,1,2,1,3,-1,3,0.979591837,1.130361905,1.049562682
3,Egypt,818,2016,50392,4,2,5,4,-1,-1,-1,3,2,-1,3,1,4,3,-1,-1,-1,2,2,-1,1,-1,-1,4,-1,-1,-1,-1,1,4,2,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,5,3000001,-1,-1,1,-1,-1,-1,-1,3,4,1,-1,-1,2,4,1,-1,1,1,-1,5,1,-1,-1,-1,3,3,1,1,3,3,-1,-1,-1,-1,-1,-1,-1,4,3,3,1,45,3,3001,-1,2,3,-1,1,-1,-1,1,2,1,1,-1,3,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50393,2,5,8,2,-1,-1,-1,1,1,-1,1,3,3,3,-1,-1,-1,2,1,-1,1,-1,-1,4,-1,-1,-1,-1,3,1,2,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,7,3000001,-1,-1,1,-1,-1,-1,-1,4,3,1,-1,-1,4,1,2,-1,2,1,-1,6,1,-1,-1,-1,2,2,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,4,4,4,2,26,1,3001,-1,1,3,-1,1,-1,-1,1,1,1,1,-1,3,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50394,1,3,3,4,-1,-1,-1,4,2,-1,3,4,4,2,-1,-1,-1,2,2,-1,2,-1,-1,3,-1,-1,-1,-1,4,4,4,-1,1,1,0,-1,-1,-1,3,1,-1,-1,-1,3,2,3,-1,-1,-1,-1,-1,8,3000001,-1,-1,1,-1,-1,-1,-1,3,4,2,-1,-1,4,3,2,-1,2,3,-1,7,1,-1,-1,-1,2,1,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,1,3,3,1,55,3,3001,-1,2,3,-1,2,-1,-1,1,1,1,1,-1,3,0.979591837,1.130361905,1.049562682
3,Egypt,818,2016,50395,2,2,8,4,-1,-1,-1,1,1,-1,1,1,2,2,-1,-1,-1,1,1,-1,1,-1,-1,8,-1,-1,-1,-1,1,1,1,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,5,3000001,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,2,2,3,-1,1,1,-1,5,3,-1,-1,-1,2,2,1,1,3,2,-1,-1,-1,2,2,1,1,4,3,4,2,27,3,3001,-1,1,3,-1,2,-1,-1,1,2,1,1,-1,3,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50396,2,1,5,4,-1,-1,-1,3,3,-1,3,3,3,3,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,2,2,2,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,4,3,3,-1,-1,-1,-1,-1,4,3000001,-1,-1,1,-1,-1,-1,-1,2,1,1,-1,-1,1,-1,3,-1,2,1,-1,6,4,-1,-1,-1,3,2,1,2,3,3,-1,-1,-1,2,2,1,2,4,4,4,1,24,5,3001,-1,1,3,-1,2,-1,-1,1,2,1,1,-1,3,1.894736842,2.186357894,2.030075187
3,Egypt,818,2016,50397,2,5,1,4,-1,-1,-1,4,4,-1,4,4,4,4,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,3,1,2,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,5,3000002,-1,-1,6,-1,-1,-1,-1,3,3,1,-1,-1,3,4,2,-1,1,1,-1,5,1,-1,-1,-1,1,1,2,3,1,4,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,32,1,3001,-1,2,3,-1,2,-1,-1,1,2,1,2,-1,3,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50398,1,1,1,4,-1,-1,-1,2,2,-1,2,2,4,2,-1,-1,-1,2,1,-1,1,-1,-1,1,-1,-1,-1,-1,4,1,3,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,2,3,4,-1,-1,-1,-1,-1,1,3000001,-1,-1,1,-1,-1,-1,-1,1,1,0,-1,-1,4,1,1,-1,2,1,-1,4,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,3,3,3,1,43,5,3001,-1,1,3,-1,2,-1,-1,2,2,1,1,-1,3,0.670807453,0.774052173,0.718722271
3,Egypt,818,2016,50399,1,5,5,1,-1,-1,-1,4,3,-1,3,1,4,4,-1,-1,-1,2,2,-1,1,-1,-1,4,-1,-1,-1,-1,4,1,4,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,1,4,3,-1,-1,-1,-1,-1,8,3000001,-1,-1,1,-1,-1,-1,-1,4,4,2,-1,-1,1,-1,1,-1,1,1,-1,8,1,-1,-1,-1,1,1,3,2,1,3,-1,-1,-1,-1,-1,-1,-1,4,3,3,1,55,1,3001,-1,1,3,-1,2,-1,-1,1,2,1,1,-1,1,0.979591837,1.130361905,1.049562682
3,Egypt,818,2016,50400,1,1,1,2,-1,-1,-1,1,3,-1,2,1,4,4,-1,-1,-1,2,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,2,2,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,4,2,1,-1,-1,-1,-1,-1,1,3000002,-1,-1,6,-1,-1,-1,-1,2,2,1,-1,-1,4,1,1,-1,1,1,-1,1,4,-1,-1,-1,1,1,1,1,1,3,-1,-1,-1,2,2,1,1,3,3,3,1,37,3,3001,-1,2,3,-1,2,-1,-1,1,2,1,1,-1,2,0.670807453,0.774052173,0.718722271
3,Egypt,818,2016,50401,2,4,4,4,-1,-1,-1,3,3,-1,3,2,3,2,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,2,1,2,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,8,3000001,-1,-1,1,-1,-1,-1,-1,3,2,2,-1,-1,3,3,1,-1,3,1,-1,8,1,-1,-1,-1,2,3,2,2,3,3,-1,-1,-1,-1,-1,-1,-1,4,4,4,2,50,1,3001,-1,2,3,-1,1,-1,-1,1,2,3,1,-1,3,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50402,2,5,5,4,-1,-1,-1,3,3,-1,3,4,4,4,-1,-1,-1,2,2,-1,1,-1,-1,4,-1,-1,-1,-1,4,3,2,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,3,4,1,-1,-1,-1,-1,-1,3,3000003,-1,-1,7,-1,-1,-1,-1,1,2,1,-1,-1,3,2,2,-1,1,2,-1,7,1,-1,-1,-1,2,2,3,2,3,2,-1,-1,-1,-1,-1,-1,-1,3,3,3,1,59,5,3001,-1,1,2,-1,2,-1,-1,2,2,3,1,-1,2,0.979591837,1.130361905,1.049562682
3,Egypt,818,2016,50403,1,4,8,2,-1,-1,-1,3,3,-1,4,1,4,3,-1,-1,-1,2,2,-1,1,-1,-1,4,-1,-1,-1,-1,1,1,1,-1,8,1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,2,3000001,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,3,1,1,-1,4,1,-1,2,4,-1,-1,-1,1,1,1,2,1,1,-1,-1,-1,1,1,1,1,3,3,3,1,48,3,3001,-1,1,3,-1,2,-1,-1,1,2,3,3,-1,1,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50404,2,2,3,4,-1,-1,-1,2,2,-1,2,4,4,4,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,4,2,2,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,3,2,1,-1,-1,-1,-1,-1,1,3000002,-1,-1,6,-1,-1,-1,-1,1,1,1,-1,-1,4,1,3,-1,1,3,-1,1,1,-1,-1,-1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,3,3,3,1,31,3,3001,-1,1,3,-1,2,-1,-1,1,2,3,1,-1,1,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50405,1,4,8,4,-1,-1,-1,4,2,-1,4,3,4,3,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,3,3,2,-1,2,2,3005015,-1,-1,-1,1,3,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,7,3000001,-1,-1,1,-1,-1,-1,-1,1,3,2,-1,-1,2,1,1,-1,1,1,-1,9,1,-1,-1,-1,2,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,3,3,3,1,25,5,3001,-1,2,3,-1,1,-1,-1,1,2,3,2,-1,2,1.178181818,1.359517091,1.262337662
3,Egypt,818,2016,50406,2,2,4,4,-1,-1,-1,3,3,-1,2,2,2,3,-1,-1,-1,1,2,-1,1,-1,-1,4,-1,-1,-1,-1,2,1,2,-1,2,1,0,-1,-1,-1,1,1,-1,-1,-1,2,2,1,-1,-1,-1,-1,-1,7,3000001,-1,-1,1,-1,-1,-1,-1,2,1,1,-1,-1,4,2,2,-1,3,1,-1,5,1,-1,-1,-1,3,2,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,4,4,4,2,52,3,3001,-1,1,3,-1,2,-1,-1,2,2,3,1,-1,3,0.705882353,0.81452549,0.756302521
3,Egypt,818,2016,50407,2,3,3,4,-1,-1,-1,4,3,-1,4,2,4,4,-1,-1,-1,2,2,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,3,2,3,-1,-1,-1,-1,-1,7,3000001,-1,-1,1,-1,-1,-1,-1,4,1,1,-1,-1,3,3,2,-1,1,2,-1,6,1,-1,-1,-1,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,2,35,1,3001,-1,1,3,-1,1,-1,-1,2,2,3,1,-1,2,0.670807453,0.774052173,0.718722271
